#District	Democratic		Republican		Other	
"PA-1"	160745	0	169053	1	0	0
"PA-2"	159600	1	42382	0	0	0
"PA-3"	287610	1	20387	0	0	0
"PA-4"	211524	1	121467	0	0	0
"PA-5"	198639	1	106075	0	0	0
"PA-6"	177704	1	124124	0	0	0
"PA-7"	140813	1	114437	0	8011	0
"PA-8"	135603	1	112563	0	0	0
"PA-9"	100204	0	148723	1	0	0
"PA-10"	141668	0	149365	1	0	0
"PA-11"	113876	0	163708	1	0	0
"PA-12"	82825	0	161047	1	0	0
"PA-13"	74733	0	178533	1	0	0
"PA-14"	110051	0	151386	1	0	0
"PA-15"	78327	0	165245	1	0	0
"PA-16"	124109	0	135348	1	2939	0
"PA-17"	183162	1	142417	0	0	0
"PA-18"	231472	1	0	0	0	0
						
"Total"	2712665	9	2206260	9	10950	0
